user_id,group,converted,revenue,session_duration_sec,pages_viewed,clicks,device_type,traffic_source,date
usr_a_10000,A,0,0.00,119,3,17,Mobile,Email,2026-05-01
usr_a_10001,A,0,0.00,116,3,26,Mobile,Paid,2026-05-01
usr_a_10002,A,0,0.00,94,4,29,Mobile,Organic,2026-05-01
usr_a_10003,A,0,0.00,107,3,36,Mobile,Email,2026-05-01
usr_a_10004,A,0,0.00,115,7,19,Mobile,Paid,2026-05-01
usr_a_10005,A,0,0.00,102,8,21,Mobile,Paid,2026-05-01
usr_a_10006,A,1,56.48,117,3,31,Mobile,Paid,2026-05-01
usr_a_10007,A,0,0.00,103,6,12,Desktop,Organic,2026-05-01
usr_a_10008,A,0,0.00,111,4,20,Desktop,Organic,2026-05-01
usr_a_10009,A,0,0.00,96,7,27,Mobile,Paid,2026-05-01
usr_a_10010,A,0,0.00,108,6,35,Mobile,Organic,2026-05-01
usr_a_10011,A,0,0.00,109,4,14,Mobile,Organic,2026-05-01
usr_a_10012,A,1,42.61,101,8,25,Desktop,Organic,2026-05-01
usr_a_10013,A,0,0.00,104,5,14,Mobile,Paid,2026-05-01
usr_a_10014,A,0,0.00,113,4,31,Desktop,Paid,2026-05-01
usr_a_10015,A,0,0.00,94,3,18,Mobile,Organic,2026-05-01
usr_a_10016,A,0,0.00,107,6,20,Mobile,Paid,2026-05-01
usr_a_10017,A,1,49.64,114,7,16,Mobile,Organic,2026-05-01
usr_a_10018,A,1,35.70,113,8,19,Mobile,Paid,2026-05-01
usr_a_10019,A,0,0.00,118,8,24,Mobile,Paid,2026-05-01
usr_a_10020,A,0,0.00,109,8,28,Desktop,Paid,2026-05-01
usr_a_10021,A,0,0.00,99,3,26,Mobile,Paid,2026-05-01
usr_a_10022,A,0,0.00,95,3,26,Desktop,Paid,2026-05-01
usr_a_10023,A,0,0.00,101,3,13,Mobile,Paid,2026-05-01
usr_a_10024,A,0,0.00,115,7,20,Desktop,Email,2026-05-01
usr_a_10025,A,0,0.00,119,5,22,Mobile,Organic,2026-05-01
usr_a_10026,A,0,0.00,113,4,15,Mobile,Paid,2026-05-01
usr_a_10027,A,0,0.00,108,3,27,Mobile,Paid,2026-05-01
usr_a_10028,A,1,44.32,103,8,28,Mobile,Organic,2026-05-01
usr_a_10029,A,0,0.00,118,8,14,Mobile,Organic,2026-05-01
usr_a_10030,A,1,37.02,98,3,26,Mobile,Organic,2026-05-01
usr_a_10031,A,0,0.00,112,8,14,Mobile,Organic,2026-05-01
usr_a_10032,A,0,0.00,109,4,26,Mobile,Paid,2026-05-01
usr_a_10033,A,0,0.00,119,6,24,Mobile,Organic,2026-05-01
usr_a_10034,A,0,0.00,101,8,17,Mobile,Email,2026-05-01
usr_a_10035,A,1,34.98,99,4,12,Mobile,Organic,2026-05-01
usr_a_10036,A,0,0.00,108,3,29,Mobile,Organic,2026-05-01
usr_a_10037,A,0,0.00,109,4,20,Desktop,Organic,2026-05-01
usr_a_10038,A,0,0.00,91,4,26,Mobile,Paid,2026-05-01
usr_a_10039,A,0,0.00,111,4,29,Mobile,Email,2026-05-01
usr_a_10040,A,0,0.00,111,6,15,Mobile,Paid,2026-05-01
usr_a_10041,A,0,0.00,113,6,26,Mobile,Email,2026-05-01
usr_a_10042,A,0,0.00,107,7,17,Mobile,Paid,2026-05-01
usr_a_10043,A,0,0.00,94,3,14,Desktop,Organic,2026-05-01
usr_a_10044,A,0,0.00,117,4,21,Mobile,Paid,2026-05-01
usr_a_10045,A,0,0.00,104,6,18,Mobile,Organic,2026-05-01
usr_a_10046,A,0,0.00,118,8,35,Mobile,Email,2026-05-01
usr_a_10047,A,0,0.00,95,5,26,Desktop,Paid,2026-05-01
usr_a_10048,A,1,58.70,108,8,34,Desktop,Email,2026-05-01
usr_a_10049,A,0,0.00,92,4,31,Desktop,Organic,2026-05-01
usr_a_10050,A,0,0.00,102,4,29,Mobile,Paid,2026-05-01
usr_a_10051,A,0,0.00,100,5,35,Mobile,Organic,2026-05-01
usr_a_10052,A,0,0.00,99,4,21,Mobile,Paid,2026-05-01
usr_a_10053,A,0,0.00,91,7,13,Desktop,Email,2026-05-01
usr_a_10054,A,0,0.00,115,3,22,Mobile,Email,2026-05-01
usr_a_10055,A,0,0.00,90,6,18,Mobile,Organic,2026-05-01
usr_a_10056,A,0,0.00,94,6,30,Mobile,Organic,2026-05-01
usr_a_10057,A,0,0.00,119,6,15,Mobile,Email,2026-05-01
usr_a_10058,A,0,0.00,117,3,36,Mobile,Paid,2026-05-01
usr_a_10059,A,0,0.00,91,3,33,Mobile,Paid,2026-05-01
usr_a_10060,A,0,0.00,106,8,33,Mobile,Organic,2026-05-01
usr_a_10061,A,0,0.00,90,7,16,Mobile,Organic,2026-05-01
usr_a_10062,A,1,40.52,96,3,32,Desktop,Paid,2026-05-01
usr_a_10063,A,0,0.00,98,5,25,Mobile,Paid,2026-05-01
usr_a_10064,A,0,0.00,105,7,32,Mobile,Email,2026-05-01
usr_a_10065,A,0,0.00,100,4,35,Desktop,Organic,2026-05-01
usr_a_10066,A,0,0.00,114,6,32,Mobile,Paid,2026-05-01
usr_a_10067,A,0,0.00,119,8,35,Mobile,Organic,2026-05-01
usr_a_10068,A,0,0.00,114,5,14,Mobile,Email,2026-05-01
usr_a_10069,A,1,44.69,105,3,15,Mobile,Organic,2026-05-01
usr_a_10070,A,0,0.00,107,6,25,Mobile,Paid,2026-05-01
usr_a_10071,A,0,0.00,119,5,16,Mobile,Paid,2026-05-01
usr_a_10072,A,0,0.00,102,7,33,Mobile,Organic,2026-05-01
usr_a_10073,A,0,0.00,101,4,36,Desktop,Email,2026-05-01
usr_a_10074,A,0,0.00,119,4,33,Mobile,Email,2026-05-01
usr_a_10075,A,0,0.00,109,3,33,Mobile,Paid,2026-05-01
usr_a_10076,A,0,0.00,106,6,30,Mobile,Organic,2026-05-01
usr_a_10077,A,1,56.30,118,6,32,Mobile,Paid,2026-05-01
usr_a_10078,A,0,0.00,104,3,20,Mobile,Email,2026-05-01
usr_a_10079,A,0,0.00,118,4,27,Desktop,Email,2026-05-01
usr_a_10080,A,1,56.75,109,8,35,Mobile,Organic,2026-05-01
usr_a_10081,A,0,0.00,97,6,21,Mobile,Organic,2026-05-01
usr_a_10082,A,0,0.00,95,4,34,Mobile,Organic,2026-05-01
usr_a_10083,A,0,0.00,93,7,22,Desktop,Paid,2026-05-01
